fileName,valence,arousal,valence_pred,arousal_pred
1003_IEO_ANG_MD.mp4,-0.5971,0.6824,-0.4118914759692191,0.5779492837103676
1016_IEO_ANG_MD.mp4,-0.5071,0.5796,-0.24076585900768302,0.3666140201047712
1057_IWL_ANG_XX.mp4,-0.5693,0.3253,-0.4029281492446444,0.36377481436619563
1042_IWL_ANG_XX.mp4,0.0,0.0,-0.10570705272438645,0.22721085524500031
1015_IWL_NEU_XX.mp4,0.0818,0.0818,0.00014956237932879738,0.1212632575729364
1012_IEO_ANG_HI.mp4,-0.6569,0.7508,-0.6419171055659059,0.659834076968589
1007_IEO_ANG_HI.mp4,0.0,0.0,-0.3710332375470233,0.3161237899571213
1018_ITS_SAD_XX.mp4,0.0779,0.0779,-0.11716387523602437,0.13687978992499567
1043_TAI_NEU_XX.mp4,0.0886,0.0886,-0.07884026319702225,0.1659761740571033
1056_TAI_NEU_XX.mp4,0.0843,0.0843,0.09494884401560501,0.09977484700864435
1088_MTI_FEA_XX.mp4,0.0775,0.0775,0.013468028852883304,0.0904325561934156
1001_TAI_ANG_XX.mp4,0.0,0.0,-0.3621725692450256,0.25160341246380513
1014_TAI_ANG_XX.mp4,-0.5975,0.6828,-0.5691706653846523,0.5951844990407575
1030_TSI_ANG_XX.mp4,-0.5651,0.6458,-0.3515203812217147,0.48401815632505285
1025_TSI_ANG_XX.mp4,-0.6078,0.6947,-0.2167029232679442,0.2974717839952688
1072_TSI_NEU_XX.mp4,0.0857,0.0857,-0.027870533463599346,0.13158265279039974
1067_TSI_NEU_XX.mp4,0.0791,0.0791,-0.007885744019034585,0.0885789000809585
1064_IEO_FEA_MD.mp4,-0.4777,0.5573,-0.1870687714982768,0.22639314181852255
1011_IWL_HAP_XX.mp4,0.0894,0.0894,0.00453019356554738,0.09584218186465869
1029_IOM_DIS_XX.mp4,-0.5123,0.2928,0.03218141591983797,0.16309186148569482
1004_IWL_HAP_XX.mp4,0.0811,0.0811,-0.03989297283546037,0.21080836185012147
1071_IEO_FEA_MD.mp4,0.0745,0.0745,-0.03182271572419385,0.10418999571535353
1030_IWL_FEA_XX.mp4,-0.5149,0.5885,-0.49064559264699786,0.5688540451412311
1061_TAI_SAD_XX.mp4,0.0721,0.0721,-0.03791136858816515,0.13096319171587517
1045_IEO_HAP_MD.mp4,0.0734,0.0734,-0.015467296960642928,0.0990613870680904
1050_IEO_HAP_MD.mp4,-0.6098,0.3484,-0.3226210182823955,0.3072812268567997
1074_TAI_SAD_XX.mp4,0.0883,0.0883,-0.12131718106215655,0.1613003416366306
1025_IWL_FEA_XX.mp4,0.0776,0.0776,-0.022665226838214498,0.10480903264340008
1078_ITS_ANG_XX.mp4,-0.6096,0.6967,-0.43850033608646327,0.5256243569607731
1075_IEO_FEA_HI.mp4,-0.5094,0.5943,-0.48472009313395875,0.604904659450312
1060_IEO_FEA_HI.mp4,-0.447,0.5215,-0.4374075624984784,0.49196527353030933
1050_TSI_SAD_XX.mp4,0.0739,0.0739,-0.08803274033240832,0.13517347052338882
1054_IEO_HAP_HI.mp4,0.0,0.0,0.04216160444101044,0.17501215955322916
1041_IEO_HAP_HI.mp4,-0.5554,0.3174,-0.17458402451266158,0.27225869626101173
1045_TSI_SAD_XX.mp4,0.078,0.078,-0.030094068883498765,0.1131107238352108
1063_IEO_SAD_MD.mp4,0.0757,0.0757,0.0020066878548607846,0.07998204538164001
1047_TAI_HAP_XX.mp4,0.576,0.432,0.1327159258671516,0.37970965647681176
1052_TAI_HAP_XX.mp4,-0.5331,0.622,-0.2792019112732315,0.6371102875455366
1076_IEO_SAD_MD.mp4,0.0745,0.0745,-0.0036029381267091024,0.08888808404717655
1066_TAI_FEA_XX.mp4,0.0786,0.0786,-0.013934416216325197,0.13971844421658047
1037_IWL_SAD_XX.mp4,0.0823,0.0823,-0.07926494520591951,0.11313002829942309
1022_IWL_SAD_XX.mp4,-0.454,0.1513,-0.02133853183430035,0.10221004329456561
1073_TAI_FEA_XX.mp4,0.0739,0.0739,-0.024075106921713513,0.1354415548417552
1072_IEO_SAD_HI.mp4,-0.4587,0.1529,-0.057395763271188685,0.12429311410871173
1076_TSI_HAP_XX.mp4,0.0,0.0,0.05481308854403937,0.2123474971952499
1063_TSI_HAP_XX.mp4,-0.5291,0.6173,0.01001230414742785,0.25627163325740443
1067_IEO_SAD_HI.mp4,-0.4577,0.1526,-0.09757912513926154,0.12272825296143003
1057_TSI_FEA_XX.mp4,-0.4523,0.5277,-0.1834015798639056,0.30869706909202954
1042_TSI_FEA_XX.mp4,0.0758,0.0758,-0.18073528504204728,0.2925567474041913
